 Daily rainfall at station dr061003        1935      36
   1935    1    1       .00
   1935    1    2       .00
   1935    1    3       .00
   1935    1    4      5.60
   1935    1    5      2.00
   1935    1    6     34.80
   1935    1    7       .00
   1935    1    8       .00
   1935    1    9       .00
   1935    1   10      2.80
   1935    1   11      2.30
   1935    1   12       .80
   1935    1   13       .00
   1935    1   14     10.20
   1935    1   15     15.00
   1935    1   16      1.30
   1935    1   17     11.20
   1935    1   18      3.00
   1935    1   19       .00
   1935    1   20       .00
   1935    1   21       .00
   1935    1   22       .00
   1935    1   23       .00
   1935    1   24       .80
   1935    1   25       .30
   1935    1   26       .00
   1935    1   27      1.80
   1935    1   28       .30
   1935    1   29      1.00
   1935    1   30       .00
   1935    1   31       .00
   1935    2    1      2.00
   1935    2    2       .00
   1935    2    3      1.50
   1935    2    4       .00
   1935    2    5       .00
   1935    2    6       .00
   1935    2    7       .00
   1935    2    8      2.00
   1935    2    9      7.60
   1935    2   10     76.70
   1935    2   11       .00
   1935    2   12       .00
   1935    2   13      3.80
   1935    2   14      9.10
   1935    2   15     10.20
   1935    2   16       .00
   1935    2   17       .00
   1935    2   18       .00
   1935    2   19       .00
   1935    2   20       .00
   1935    2   21       .00
   1935    2   22       .00
   1935    2   23       .00
   1935    2   24       .00
   1935    2   25       .00
   1935    2   26       .00
   1935    2   27       .00
   1935    2   28       .00
   1935    3    1       .00
   1935    3    2       .00
   1935    3    3       .00
   1935    3    4      4.10
   1935    3    5       .00
   1935    3    6      1.30
   1935    3    7       .80
   1935    3    8       .00
   1935    3    9       .00
   1935    3   10       .00
   1935    3   11       .00
   1935    3   12     48.30
   1935    3   13      9.90
   1935    3   14       .50
   1935    3   15      2.30
   1935    3   16       .00
   1935    3   17       .80
   1935    3   18       .00
   1935    3   19       .00
   1935    3   20       .00
   1935    3   21       .00
   1935    3   22       .00
   1935    3   23      1.00
   1935    3   24       .00
   1935    3   25       .00
   1935    3   26       .00
   1935    3   27       .80
   1935    3   28       .00
   1935    3   29       .00
   1935    3   30       .00
   1935    3   31       .00
   1935    4    1       .00
   1935    4    2       .00
   1935    4    3       .00
   1935    4    4      1.80
   1935    4    5     11.90
   1935    4    6       .00
   1935    4    7       .00
   1935    4    8       .00
